"","column","cor","p.adj","corr_order","label"
"1289","SLC25A3",0.0131995735378399,1,565,""
"1290","FNDC3B",0.126791681014874,1,4108,""
"1294","FRYL",0.272811435553986,0.000224697331275504,5994,""
"1296","FSCN1",0.445561428948496,1.22155208660053e-17,6522,""
"1297","ACTB",0.412881887154749,1.76832255598289e-14,6472,""
"1298","MOCOS",0.0819396721456323,1,2995,""
"1303","RAB7A",0.148601823494354,1,4536,""
"1304","BCAP29",0.176001112549906,1,4977,""
"1311","KIFAP3",0.0732842128323663,1,2757,""
"1314","REXO2",0.189876669799301,1,5206,""
"1315","RBM7",0.0486936574605532,1,1928,""
"1316","RBMS2",0.210681442265565,0.202384876169849,5465,""
"1319","MLH1",0.0231201641398859,1,949,""
"1327","ANKRD13A",0.0296479217892666,1,1229,""
"1330","TRAF4",0.0771098697840844,1,2858,""
"1331","PAG1",0.311288378878136,1.19838509615193e-06,6195,""
"1335","MCAM",0.0930173185594992,1,3307,""
"1341","ARHGEF1",0.219281124587736,0.0888175328874616,5547,""
"1344","NMRK2",0.00188196600139351,1,78,""
"1350","TM9SF3",0.0137646219532711,1,589,""
"1351","NFKB2",0.145985141155547,1,4486,""
